Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/30  03:00:00,19.9583333333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7004155087367,24.7813683007584,25.2253584214649,24.6000994359877,24.7643505257557,24.785254043313
 06/30  04:00:00,18.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5353857033159,24.6297570180474,25.007089787107,24.3653029222411,24.4722064245411,24.6215063971896
 06/30  05:00:00,17.6583333333333,9.66666666666666,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3681901087943,24.4729697291616,24.7841506700799,24.1291773480645,24.1839242776722,24.4533715053153
 06/30  06:00:00,18.5999999999999,164.5,2,0,0,0,0,0,0,0,3496.83924679879,3496.83924679879,0,1253.90492905792,1253.90492905792,0,474.620174247101,474.620174247101,0,538.073980371614,538.073980371614,5763.43833047543,24.4065525918108,24.3815018600486,24.8271091564584,24.1349136353063,24.2050643800594,24.398824569785
 06/30  07:00:00,21,466.75,2,6.13418375585338,25.8434183755853,2.43516873889875,2.43516873889875,0.193767156466978,37.0417067657032,1066.92337202318,170.21357963266,1237.13695165584,262.52613575936,4.1501115187297,266.676247278089,122.788230709887,0,122.788230709887,79.9499683296242,0,79.9499683296242,1706.55139797344,24.7619504981891,24.6249195449778,25.4926351663902,24.5367780093259,24.6368187586461,24.6992507153982
 06/30  08:00:00,23.4,651.25,2,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,970.318105272604,3332.29853402663,4302.61663929923,244.831451010719,673.982455130797,918.813906141516,916.036702204253,487.623340748058,1403.66004295231,74.9775491147473,326.061042509278,401.038591624025,7026.12918001708,25.4030103691114,25.3266031999789,26.0089301860321,25.3314478967545,24.4406183905837,25.3847355749561
 06/30  09:00:00,25.0416666666666,751.666666666666,2,30.6709187792669,129.217091877926,12.1758436944937,12.1758436944937,0.968835782334894,185.208533828515,8868.7375353775,5837.58452101516,14706.3220563926,1971.39948947902,1244.32300929467,3215.72249877369,2907.71156761583,628.293993636629,3536.00556125246,1011.42549391572,509.083042995173,1520.50853691089,22978.5586533296,25.9431903620276,25.9254325694993,26.0280735490366,25.9277472238971,25.7213741224531,25.9353248981688
 06/30  10:00:00,26.2,810.166666666666,2,30.6709187792669,129.217091877926,12.1758436944937,12.1758436944937,0.968835782334894,185.208533828515,14106.2035543533,7551.33861040129,21657.5421647545,3245.08376015408,1602.35877818144,4847.44253833553,4012.69802383693,627.004732506438,4639.70275634336,2048.60080247289,627.139237086447,2675.74003955933,33820.4274989927,26.0399234279901,26.0344781183485,26.0107365136293,26.0028325675998,26.8746707196631,26.0317242911165
 06/30  11:00:00,27.3416666666666,841.25,2,42.9392862909736,180.903928629097,17.0461811722912,17.0461811722912,1.35637009526885,259.291947359922,20126.5047718255,10606.8314731409,30733.3362449664,4581.63604059278,2297.78935608814,6879.42539668091,5274.58927263604,901.643227597119,6176.23250023315,3279.09551440215,901.642520772384,4180.73803517453,47969.732177055,26.0123751483149,26.0222672821878,26.0166981262652,26.0120355114432,28.0974058850726,26.0195762778401
 06/30  12:00:00,28.675,856.916666666666,2,42.9392862909736,180.903928629097,17.0461811722912,17.0461811722912,1.35637009526885,259.291947359922,23012.2457094506,10488.4175496907,33500.6632591413,5265.2207091392,2277.52496571717,7542.74567485637,6088.62248205447,892.40939036866,6981.03187242313,4107.94299390757,893.470015179445,5001.41300908701,53025.8538155078,26.0135326280506,26.0079916232155,26.0188438345824,26.0155422682031,28.7993365017154,26.0101302305084
