Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/22  23:00:00,18.5083333333333,0,1,56.0283453639789,1.50558,57.5339253639789,1934.43916275449,3815.49512474111,5749.93428749561,4542.63205330631,3099.60269972655,7642.23475303286,13392.1690405285,24.8104339037806,22.0523255751227,18.3451123065072,24.058236217498
 06/22  24:00:00,17.45,0,1,14.0070863409947,0.376395,14.3834813409947,966.337987194108,1204.59276172286,2170.93074891696,7311.27903481264,2001.70654909752,9312.98558391016,11483.9163328271,24.5713755295397,20.5914436567935,16.8389819664554,23.4859592987353
 06/23  01:00:00,16.9083333333333,0,2,0,0,0,0,0,0,0,0,0,0,24.3123693561652,24.3788967784403,15.7604168548073,24.3305128687277
 06/23  02:00:00,16.3499999999999,0,2,0,0,0,0,0,0,0,0,0,0,24.1585225381001,25.7639039026895,15.1261411672526,24.5963458590691
 06/23  03:00:00,15.6916666666666,0,2,0,0,0,0,0,0,0,0,0,0,23.9472982629687,25.8456753558235,14.5758362699264,24.4650280570092
 06/23  04:00:00,14.9333333333333,0,2,0,0,0,0,0,0,0,0,0,0,23.9773544857068,26.3916971253128,13.632599041397,24.6357995977191
 06/23  05:00:00,14.1916666666666,23.75,2,14.0070863409947,0.376395,14.3834813409947,1417.52198646066,3633.58600464463,5051.10799110529,9425.98293580849,9990.31535495347,19416.2982907619,24467.4062818672,24.0212772467541,20.6601937451288,12.4499747315558,23.1046347758779
 06/23  06:00:00,15.1833333333333,317.583333333333,2,28.0141726819894,0.75279,28.7669626819894,4209.96039881723,2328.8152615329,6538.77566035014,13659.5463927716,4022.72213470074,17682.2685274723,24221.0441878224,23.2170366423829,17.4104521201563,12.4188657501159,21.6334514737218
 06/23  07:00:00,17.4416666666666,622.916666666666,2,112.056690727957,3.01116,115.067850727957,12248.0480158425,7108.10494914673,19356.1529649892,15207.4339495842,6598.75404031387,21806.187989898,41162.3409548872,22.0884938206329,16.9438182445592,16.9643235687184,20.6854259915747
 06/23  08:00:00,19.6833333333333,774.416666666666,2,112.056690727957,3.01116,115.067850727957,5959.23308823254,6439.49205392443,12398.7251421569,7953.70658762494,8854.87750671368,16808.5840943386,29207.3092364955,24.3468484865995,21.3732392231878,24.937875002967,23.5358788866726
