Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/04  07:00:00,16.5333333333333,580.666666666666,4,112.056690727957,3.01116,115.067850727957,7905.4250506246,5280.62687266996,13186.0519232946,9840.28344529289,6904.58371143444,16744.8671567273,29930.9190800219,23.4664942545277,21.1126031166517,16.249295717205,22.8245356159658
 06/04  08:00:00,18.1916666666666,772.333333333333,4,112.056690727957,3.01116,115.067850727957,6912.04878779802,4793.40578884082,11705.4545766388,9174.50126673316,8939.14944219757,18113.6507089307,29819.1052855696,24.3033977120511,22.1711407702879,23.9982035156267,23.7218836643651
 06/04  09:00:00,20.4166666666666,855.25,4,112.056690727957,3.01116,115.067850727957,5803.51708700049,5197.48184125502,11000.9989282555,7824.34317763361,10580.2311769824,18404.574354616,29405.5732828715,25.4960341193879,23.8274352226505,33.5458700244246,25.0409699667517
 06/04  10:00:00,23.0166666666666,909.916666666666,4,56.0283453639789,1.50558,57.5339253639789,4800.35511995385,3654.27244793985,8454.6275678937,7425.19709982902,11677.403382936,19102.600482765,27557.2280506587,25.9999946803211,25.7586602313163,42.7631223478462,25.9341773908856
 06/04  11:00:00,25.6166666666666,937.333333333333,4,140.070863409947,3.76395,143.834813409947,9599.96210657445,7179.22674761716,16779.1888541916,9377.33112733566,12826.7111267701,22204.0422541058,38983.2311082974,26,25.9999998023519,50.7278422028977,25.9999999460969
 06/04  12:00:00,27.2249999999999,928.416666666666,4,224.113381455915,6.02232,230.135701455915,14016.0578016651,10308.1097142229,24324.167515888,9749.67583496017,10443.777762657,20193.4535976172,44517.6211135052,25.9999999999999,26,56.3563301848215,25.9999999999999
 06/04  13:00:00,28.125,858.666666666666,4,196.099208773926,5.26953,201.368738773926,13410.1599510071,8886.81610491274,22296.9760559198,9503.2372170378,8076.63603656995,17579.8732536078,39876.8493095276,26,26,59.3685182397828,26
 06/04  14:00:00,29.025,496.416666666666,4,112.056690727957,3.01116,115.067850727957,9978.65775253292,5298.53320081845,15277.1909533514,8993.59710614284,7665.35372136165,16658.9508275045,31936.1417808559,26,25.9999999999999,58.6020241181815,26
 06/04  15:00:00,28.875,304.666666666666,4,56.0283453639789,1.50558,57.5339253639789,7184.87730743127,3200.89479804831,10385.7721054796,8964.73084503079,9948.46505833774,18913.1959033685,29298.9680088481,25.9999999999999,26,53.0071146997929,25.9999999999999
 06/04  16:00:00,27.9749999999999,263.083333333333,4,70.0354317049736,1.881975,71.9174067049736,8053.43895982594,3642.67528600866,11696.1142458346,9697.89045689248,10247.9166635813,19945.8071204738,31641.9213663084,26,26,46.6139911488664,26
 06/04  17:00:00,27.075,113.583333333333,4,140.070863409947,3.76395,143.834813409947,10791.3491454831,6770.69354558799,17562.0426910711,10246.8077214259,10611.7990102906,20858.6067317165,38420.6494227876,26,25.9999999999999,40.6659946418526,26
 06/04  18:00:00,26.0583333333333,87.3333333333333,4,224.113381455915,6.02232,230.135701455915,13634.4451055409,10178.5272197297,23812.9723252706,10442.7331039501,10277.6579326346,20720.3910365847,44533.3633618553,26,25.9999999999999,34.2321768453119,26
 06/04  19:00:00,24.9,11.7499999999999,4,224.113381455915,6.02232,230.135701455915,12699.8869608868,10063.4145706654,22763.3015315522,10106.2370421553,9449.06419360102,19555.3012357563,42318.6027673085,25.9999999999999,25.9999999999999,28.6380591622071,25.9999999999999
 06/04  20:00:00,23.7583333333333,0.222222222222222,4,224.113381455915,6.02232,230.135701455915,11820.3651945215,9890.59274034661,21710.9579348681,9199.62893165427,8044.66829978858,17244.2972314428,38955.255166311,26,26,24.7022672716456,26
 06/04  21:00:00,22.0166666666666,0,4,140.070863409947,3.76395,143.834813409947,7429.17160668671,6338.51863659204,13767.6902432788,9154.08660605826,6941.63644981576,16095.723055874,29863.4132991528,25.9999999999999,25.7089946441916,22.0647538774313,25.9206363459112
 06/04  22:00:00,19.8166666666666,0,4,98.049604386963,2.634765,100.684369386963,5680.24730967151,5076.00064547237,10756.2479551439,9531.12510929824,5671.28160142837,15202.4067107266,25958.6546658705,25.4065297877368,23.6837289783587,19.7503569809896,24.9366835640496
 06/04  23:00:00,17.6166666666666,0,4,56.0283453639789,1.50558,57.5339253639789,3980.40861718028,2521.64236624572,6502.050983426,9106.69853794019,3522.75353228639,12629.4520702266,19131.5030536526,24.5190017487537,21.5075252253999,16.8769096643165,23.6977049020619
 06/04  24:00:00,16.5833333333333,0,4,14.0070863409947,0.376395,14.3834813409947,1121.72927364665,1040.28596718242,2162.01524082907,8683.38242079354,2729.4911885745,11412.873609368,13574.8888501971,24.5019988284572,20.209535202937,13.988974016005,23.3313482147666
 06/05  01:00:00,16.3833333333333,0,5,0,0,0,0,0,0,0,0,0,0,24.4417778218298,24.6368391901878,12.628011465204,24.4949754096248
 06/05  02:00:00,16.1833333333333,0,5,0,0,0,0,0,0,0,0,0,0,24.3153866058158,26.1503498414462,11.9773922771895,24.8158220259599
